N°,PAIS,UNIVERSIDAD
1,ALEMANIA,BIELEFELD UNIVERSITY
2,ALEMANIA,CHARITE - UNIVERSITATSMEDIZIN BERLIN
3,ALEMANIA,CONSTRUCTOR UNIVERSITY
4,ALEMANIA,DRESDEN UNIVERSITY OF TECHNOLOGY
5,ALEMANIA,FREE UNIVERSITY OF BERLIN
6,ALEMANIA,FRIEDRICH SCHILLER UNIVERSITY JENA
7,ALEMANIA,GOETHE UNIVERSITY FRANKFURT
8,ALEMANIA,HEIDELBERG UNIVERSITY
9,ALEMANIA,HUMBOLDT UNIVERSITY OF BERLIN
10,ALEMANIA,JOHANNES GUTENBERG UNIVERSITY OF MAINZ
11,ALEMANIA,JUSTUS LIEBIG UNIVERSITY GIESSEN
12,ALEMANIA,KARLSRUHE INSTITUTE OF TECHNOLOGY
13,ALEMANIA,LEIBNIZ UNIVERSITY OF HANOVER
14,ALEMANIA,LEUPHANA UNIVERSITY OF LÜNEBURG
15,ALEMANIA,LMU MUNICH
16,ALEMANIA,RUHR UNIVERSITY BOCHUM
17,ALEMANIA,RWTH AACHEN UNIVERSITY
18,ALEMANIA,TECHNICAL UNIVERSITY DARMSTADT
19,ALEMANIA,TECHNICAL UNIVERSITY OF BERLIN
20,ALEMANIA,TECHNICAL UNIVERSITY OF DORTMUND
21,ALEMANIA,TECHNICAL UNIVERSITY OF MUNICH
22,ALEMANIA,ULM UNIVERSITY
23,ALEMANIA,UNIVERSITAT PASSAU
24,ALEMANIA,UNIVERSITAT POTSDAM
25,ALEMANIA,UNIVERSITY OF BAYREUTH
26,ALEMANIA,UNIVERSITY OF BONN
27,ALEMANIA,UNIVERSITY OF BREMEN
28,ALEMANIA,UNIVERSITY OF COLOGNE
29,ALEMANIA,UNIVERSITY OF DUESSELDORF
30,ALEMANIA,UNIVERSITY OF DUISBURG-ESSEN
31,ALEMANIA,UNIVERSITY OF ERLANGEN-NUREMBERG
32,ALEMANIA,UNIVERSITY OF FREIBURG
33,ALEMANIA,UNIVERSITY OF GOETTINGEN
34,ALEMANIA,UNIVERSITY OF GREIFSWALD
35,ALEMANIA,UNIVERSITY OF HAMBURG
36,ALEMANIA,UNIVERSITY OF HOHENHEIM
37,ALEMANIA,UNIVERSITY OF KIEL
38,ALEMANIA,UNIVERSITY OF KONSTANZ
39,ALEMANIA,UNIVERSITY OF LEIPZIG
40,ALEMANIA,UNIVERSITY OF MANNHEIM
41,ALEMANIA,UNIVERSITY OF MARBURG
42,ALEMANIA,UNIVERSITY OF MUENSTER
43,ALEMANIA,UNIVERSITY OF STUTTGART
44,ALEMANIA,UNIVERSITY OF TUBINGEN
45,ALEMANIA,UNIVERSITY OF WUERZBURG
46,ARABIA SAUDITA,ALFAISAL UNIVERSITY
47,ARABIA SAUDITA,IMAM MOHAMMAD IBN SAUD ISLAMIC UNIVERSITY - IMSIU
48,ARABIA SAUDITA,KING ABDULAZIZ UNIVERSITY
49,ARABIA SAUDITA,KING ABDULLAH UNIVERSITY OF SCIENCE AND TECHNOLOGY
50,ARABIA SAUDITA,KING FAHD UNIVERSITY OF PETROLEUM & MINERALS
51,ARABIA SAUDITA,KING SAUD UNIVERSITY
52,ARABIA SAUDITA,PRINCESS NOURAH BINT ABDULRAHMAN UNIVERSITY
53,ARABIA SAUDITA,TAIF UNIVERSITY
54,ARGENTINA,PONTIFICIA UNIVERSIDAD CATÓLICA ARGENTINA
55,ARGENTINA,UNIVERSIDAD AUSTRAL
56,ARGENTINA,UNIVERSIDAD DE BUENOS AIRES
57,ARGENTINA,UNIVERSIDAD DE PALERMO (UP)
58,AUSTRALIA,AUSTRALIAN CATHOLIC UNIVERSITY
59,AUSTRALIA,AUSTRALIAN NATIONAL UNIVERSITY
60,AUSTRALIA,BOND UNIVERSITY
61,AUSTRALIA,CANBERRA UNIVERSITY
62,AUSTRALIA,CHARLES DARWIN UNIVERSITY
63,AUSTRALIA,CURTIN UNIVERSITY
64,AUSTRALIA,DEAKIN UNIVERSITY
65,AUSTRALIA,EDITH COWAN UNIVERSITY
66,AUSTRALIA,FLINDERS UNIVERSITY
67,AUSTRALIA,GRIFFITH UNIVERSITY
68,AUSTRALIA,JAMES COOK UNIVERSITY
69,AUSTRALIA,LA TROBE UNIVERSITY
70,AUSTRALIA,MACQUARIE UNIVERSITY
71,AUSTRALIA,MONASH UNIVERSITY
72,AUSTRALIA,QUEENSLAND UNIVERSITY OF TECHNOLOGY
73,AUSTRALIA,RMIT UNIVERSITY
74,AUSTRALIA,SWINBURNE UNIVERSITY OF TECHNOLOGY
75,AUSTRALIA,UNIVERSITY OF ADELAIDE
76,AUSTRALIA,UNIVERSITY OF MELBOURNE
77,AUSTRALIA,UNIVERSITY OF NEW SOUTH WALES
78,AUSTRALIA,UNIVERSITY OF NEWCASTLE
79,AUSTRALIA,UNIVERSITY OF QUEENSLAND
80,AUSTRALIA,UNIVERSITY OF SOUTH AUSTRALIA
81,AUSTRALIA,UNIVERSITY OF SOUTHERN QUEENSLAND
82,AUSTRALIA,UNIVERSITY OF SYDNEY
83,AUSTRALIA,UNIVERSITY OF TASMANIA
84,AUSTRALIA,UNIVERSITY OF TECHNOLOGY SYDNEY
85,AUSTRALIA,UNIVERSITY OF WESTERN AUSTRALIA
86,AUSTRALIA,UNIVERSITY OF WESTERN SYDNEY
87,AUSTRALIA,UNIVERSITY OF WOLLONGONG
88,AUSTRALIA,VICTORIA UNIVERSITY
