rank,name,country,overall_score,research_qlt_score,industry_score,intl_outlook_score,research_env_score,teaching_score
1,University of Oxford,United Kingdom,98.5,98.8,99.6,97.3,100.0,96.8
2,Massachusetts Institute of Technology,United States,98.1,99.7,100.0,93.8,96.0,99.2
3,Harvard University,United States,97.7,99.3,85.7,90.1,99.9,97.3
4,Princeton University,United States,97.5,98.9,96.9,87.4,98.0,98.3
5,University of Cambridge,United Kingdom,97.4,97.6,88.4,97.1,99.9,95.9
6,Stanford University,United States,97.2,99.6,100.0,85.1,97.3,97.5
7,California Institute of Technology,United States,96.3,97.3,100.0,89.7,97.5,95.2
8,"University of California, Berkeley",United States,94.5,99.0,99.5,86.4,98.9,87.2
9,Imperial College London,United Kingdom,94.4,98.5,90.8,98.3,94.9,89.3
10,Yale University,United States,94.1,97.8,86.5,82.3,95.0,93.7
11,ETH Zurich,Switzerland,93.0,95.1,84.0,95.3,97.2,87.3
12,Tsinghua University,China,92.5,93.5,100.0,49.8,98.4,95.4
13,Peking University,China,92.0,88.2,99.9,70.1,97.7,94.9
=14,The University of Chicago,United States,90.9,97.4,86.2,81.1,90.0,88.4
=14,University of Pennsylvania,United States,90.9,96.9,98.3,79.3,90.7,87.1
16,Johns Hopkins University,United States,90.7,97.3,100.0,83.6,91.3,83.7
17,National University of Singapore,Singapore,89.9,95.7,100.0,91.9,93.6,78.4
=18,Columbia University,United States,89.8,96.9,75.9,85.4,88.8,86.4
=18,"University of California, Los Angeles",United States,89.8,96.6,89.0,73.4,92.1,84.9
20,Cornell University,United States,89.2,96.8,69.5,85.5,91.1,83.2
21,University of Toronto,Canada,88.3,93.4,94.9,91.8,93.5,76.2
=22,UCL,United Kingdom,87.7,98.4,74.9,97.7,86.2,77.6
=22,University of Michigan-Ann Arbor,United States,87.7,95.4,82.5,68.2,88.8,84.3
24,Carnegie Mellon University,United States,85.7,99.0,85.4,84.2,85.1,73.1
25,University of Washington,United States,83.8,98.0,84.7,72.1,81.3,74.6
26,Technical University of Munich,Germany,83.5,91.7,100.0,83.1,86.0,70.4
27,Duke University,United States,83.4,96.2,100.0,75.5,75.6,77.7
28,The University of Tokyo,Japan,83.3,68.3,100.0,50.4,94.2,94.1
29,University of Edinburgh,United Kingdom,82.5,95.7,72.2,96.6,77.1,72.2
30,"Nanyang Technological University, Singapore",Singapore,81.8,94.5,99.9,94.1,79.3,65.8
31,Northwestern University,United States,81.4,97.8,92.3,69.4,75.8,71.8
32,École Polytechnique Fédérale de Lausanne,Switzerland,80.4,88.5,100.0,95.3,72.4,73.6
33,New York University,United States,80.3,94.3,71.7,75.3,76.8,72.0
34,"University of California, San Diego",United States,79.9,97.4,100.0,73.9,75.8,64.9
35,University of Hong Kong,Hong Kong,79.6,96.1,96.3,97.4,70.5,65.0
=36,Fudan University,China,78.8,85.4,99.4,53.8,76.2,78.2
=36,King’s College London,United Kingdom,78.8,97.2,76.2,97.2,74.3,60.1
38,LMU Munich,Germany,78.7,91.7,100.0,76.4,76.5,65.2
39,University of Melbourne,Australia,78.4,89.1,99.3,92.3,75.3,64.2
40,Georgia Institute of Technology,United States,78.3,92.9,99.2,83.4,77.7,60.0
41,University of British Columbia,Canada,77.8,89.7,79.8,94.3,76.7,62.3
42,Paris Sciences et Lettres – PSL Research University Paris,France,77.7,82.0,99.4,80.4,72.8,74.4
43,KU Leuven,Belgium,77.0,92.4,100.0,80.6,74.9,59.5
44,The Chinese University of Hong Kong,Hong Kong,76.8,97.8,94.2,94.6,64.3,60.8
45,McGill University,Canada,76.7,88.6,78.0,91.6,70.9,66.2
46,University of Illinois at Urbana-Champaign,United States,76.5,84.1,86.7,63.2,81.0,66.4
=47,Universität Heidelberg,Germany,76.2,95.2,99.3,78.5,63.4,65.6
=47,Zhejiang University,China,76.2,81.8,100.0,61.3,76.6,70.6
49,Karolinska Institute,Sweden,76.1,96.1,95.9,83.8,67.1,59.9
=50,London School of Economics and Political Science,United Kingdom,75.9,94.7,45.1,94.2,72.0,60.0
=50,University of Texas at Austin,United States,75.9,91.3,82.6,47.2,76.3,66.1
52,Shanghai Jiao Tong University,China,75.8,77.5,100.0,56.4,79.3,72.4
=53,University of Manchester,United Kingdom,75.5,93.4,73.3,95.5,67.7,60.3
=53,University of Science and Technology of China,China,75.5,90.0,98.8,46.1,68.1,72.3
55,Kyoto University,Japan,75.2,58.7,100.0,45.8,85.1,86.3
=56,Delft University of Technology,Netherlands,74.8,76.8,100.0,93.6,76.1,63.2
=56,University of Wisconsin-Madison,United States,74.8,86.3,81.4,63.5,70.2,69.7
=58,Brown University,United States,73.8,89.4,68.6,71.6,60.9,71.8
=58,Monash University,Australia,73.8,95.0,99.7,92.0,65.6,52.2
=58,University of Amsterdam,Netherlands,73.8,97.1,77.2,93.4,63.8,54.5
61,The University of Sydney,Australia,73.7,92.1,99.5,90.5,67.7,53.2
=62,Seoul National University,South Korea,73.5,76.2,100.0,44.9,74.3,73.7
=62,"University of California, Davis",United States,73.5,86.1,89.4,75.4,67.8,63.8
64,Université Paris-Saclay,France,73.4,81.5,91.0,77.5,66.9,68.4
65,Nanjing University,China,73.0,86.3,99.1,61.5,65.0,66.8
66,The Hong Kong University of Science and Technology,Hong Kong,72.9,93.0,100.0,98.1,60.9,54.1
=67,"University of California, Santa Barbara",United States,72.7,96.7,96.8,81.9,65.5,49.6
=67,Wageningen University & Research,Netherlands,72.7,92.9,99.0,92.8,59.3,56.7
69,Washington University in St Louis,United States,72.2,97.5,78.4,74.8,56.9,59.8
70,University of North Carolina at Chapel Hill,United States,71.6,93.3,75.7,50.9,62.3,63.3
71,Institut Polytechnique de Paris,France,71.3,73.4,98.3,97.0,60.8,69.2
72,University of Southern California,United States,71.0,92.8,75.0,73.2,60.4,58.3
=73,Australian National University,Australia,70.7,85.0,86.1,94.0,65.1,53.6
=73,Leiden University,Netherlands,70.7,93.8,98.7,87.7,62.8,46.8
75,Boston University,United States,70.6,93.2,71.2,75.3,56.2,60.5
76,Sorbonne University,France,70.4,82.4,71.5,80.8,61.1,64.6
77,The University of Queensland,Australia,70.3,87.8,99.7,93.6,61.9,50.8
78,City University of Hong Kong,Hong Kong,70.0,92.9,100.0,99.1,51.8,53.1
78,University of Bristol,United Kingdom,70.0,96.8,71.1,92.6,56.9,49.8
79,Purdue University West Lafayette,United States,69.9,73.8,86.2,77.2,68.9,63.0
=80,University of Groningen,Netherlands,69.8,94.8,99.9,93.5,57.5,46.4
82,Korea Advanced Institute of Science and Technology (KAIST),South Korea,69.5,78.3,100.0,45.7,66.7,65.2
83,UNSW Sydney,Australia,69.1,91.7,98.2,93.9,57.4,47.6
=84,Humboldt University of Berlin,Germany,68.0,84.9,65.5,76.8,63.5,53.3
=84,The Hong Kong Polytechnic University,Hong Kong,68.0,92.8,93.6,97.7,53.5,46.1
=84,University of Massachusetts,United States,68.0,87.9,87.4,76.0,52.1,58.6
=87,University of Glasgow,United Kingdom,67.8,96.0,72.0,96.0,51.4,47.5
=87,University of Minnesota,United States,67.8,86.0,99.9,46.2,59.6,58.4
89,University of Bonn,Germany,67.6,89.2,86.2,72.4,57.4,51.8
=90,"University of California, Irvine",United States,67.3,92.9,97.6,78.1,53.2,48.3
=90,Vanderbilt University,United States,67.3,95.9,95.0,63.5,49.0,53.3
92,RWTH Aachen University,Germany,67.2,78.0,100.0,70.3,64.2,53.9
=93,Charité - Universitätsmedizin Berlin,Germany,67.1,97.8,100.0,74.6,49.0,47.3
=93,University of Birmingham,United Kingdom,67.1,95.1,75.3,95.1,50.5,46.7
=95,KTH Royal Institute of Technology,Sweden,66.9,81.5,97.3,82.9,58.3,52.3
=95,Lund University,Sweden,66.9,86.0,99.8,79.3,58.4,48.4
