top,country,name
25,Australia,University of Melbourne
25,Australia,UNSW Sydney
25,Australia,The University of Sydney
25,Canada,University of Toronto
25,China,Peking University
25,China,Tsinghua University
25,Hong Kong,University of Hong Kong
25,United States,California Institute of Technology
25,United States,Carnegie Mellon University
25,United States,Columbia University
25,United States,Cornell University
25,United States,Duke University
25,United States,Harvard University
25,United States,Johns Hopkins University
25,United States,Massachusetts Institute of Technology
25,United States,New York University
25,United States,Northwestern University
25,United States,Princeton University
25,United States,Stanford University
25,United States,"University of California, Berkeley"
25,United States,"University of California, Los Angeles"
25,United States,"University of California, San Diego"
25,United States,"University of California, San Francisco"
25,United States,The University of Chicago
25,United States,University of Michigan-Ann Arbor
25,United States,University of Pennsylvania
25,United States,University of Washington
25,United States,Washington University in St Louis
25,United States,Yale University
25,France,Paris Sciences et Lettres – PSL Research University Paris
25,France,Université Paris-Saclay
25,France,Paris-Sud University
25,Japan,The University of Tokyo
25,United Kingdom,Imperial College London
25,United Kingdom,UCL
25,United Kingdom,University of Cambridge
25,United Kingdom,University of Edinburgh
25,United Kingdom,University of Oxford
25,Singapore,"Nanyang Technological University, Singapore"
25,Singapore,National University of Singapore
25,Switzerland,ETH Zurich
25,Switzerland,École Polytechnique Fédérale de Lausanne
